code,shape,area,score,percent,circles,num_lines,corners
2780,18,9386.0,130,32.5,1,14,39
2780,18,7776.0,100,25.0,2,2,38
2780,10,9707.0,112,28.0,1,1,43
2780,10,8373.0,85,21.25,0,0,42
2780,14,9359.5,84,21.0,4,0,46
2780,15,8033.0,95,23.75,5,0,39
2780,10,9180.5,124,31.0,1,2,41
2780,10,7988.0,104,26.0,0,2,29
2780,15,7220.5,96,24.0,2,0,40
2780,13,8600.0,94,23.5,2,0,38
2780,19,6069.0,70,17.5,4,0,36
2780,13,8809.5,49,12.25,1,0,44
2780,12,9621.0,70,17.5,1,0,36
2780,13,5330.0,61,15.25,2,0,30
2780,15,6438.0,73,18.25,3,0,39
2780,10,8495.0,74,18.5,0,0,40
2780,18,7362.5,78,19.5,1,0,38
2780,13,8653.0,89,22.25,1,0,34
2780,11,10081.0,130,32.5,2,4,39
2780,17,7845.0,105,26.25,3,1,45
2780,13,9770.5,136,34.0,0,3,38
2780,17,8216.5,116,29.0,0,3,41
2780,10,9274.0,95,23.75,0,0,39
2780,10,8296.0,112,28.0,0,2,39
2780,14,9882.0,99,24.75,0,0,39
2780,18,6636.0,81,20.25,2,0,34
2780,18,9052.5,94,23.5,2,0,38
2780,13,7714.5,103,25.75,3,1,40
2780,17,7806.5,59,14.75,5,0,39
2780,14,8564.5,58,14.5,2,0,41
2780,15,9642.0,113,28.25,0,3,40
2780,12,8682.5,76,19.0,1,0,41
2780,13,9485.0,64,16.0,1,0,42
2780,15,6755.5,66,16.5,3,0,44
2780,11,9118.5,115,28.75,4,4,38
2780,14,7744.0,110,27.5,2,4,43
2780,16,9079.0,57,14.25,4,0,41
2780,18,7053.5,54,13.5,3,0,39
2780,19,5817.0,88,22.0,3,0,35
2780,13,7896.0,71,17.75,0,0,28
2780,15,8356.5,120,30.0,4,12,47
2780,16,8474.5,105,26.25,3,3,37
2780,20,5251.5,68,17.0,2,0,32
2780,11,8353.5,52,13.0,1,0,38
2780,17,6942.0,65,16.25,2,0,41
2780,15,8561.5,65,16.25,3,0,38
2780,9,9640.5,122,30.5,0,3,40
2780,17,7307.5,76,19.0,3,0,36
2780,18,8361.5,81,20.25,3,0,39
2780,11,8307.5,128,32.0,0,17,36
2780,13,9447.5,76,19.0,2,0,41
2780,17,6246.0,87,21.75,5,0,37
2780,11,9173.5,99,24.75,0,0,38
2780,10,8840.5,118,29.5,2,1,41
2780,19,8412.5,120,30.0,3,2,45
2780,10,8241.5,120,30.0,0,9,29
2780,14,9336.5,68,17.0,3,0,41
2780,19,7331.5,83,20.75,2,0,33
2780,17,8550.0,110,27.5,4,1,43
2780,9,8578.5,122,30.5,0,4,36
2780,15,6606.5,73,18.25,3,0,37
2780,7,11.0,100,25.0,2,1,34
2780,14,9800.5,104,26.0,0,1,41
2780,11,6284.5,58,14.5,3,0,34
2780,15,8713.0,77,19.25,4,0,43
2780,14,7810.5,74,18.5,4,0,36
2780,14,9881.5,80,20.0,0,0,40
2780,17,8589.5,90,22.5,0,0,37
2780,18,7934.5,63,15.75,2,0,38
2780,12,8303.5,86,21.5,3,0,36
2780,14,5987.0,60,15.0,2,0,31
2780,11,8407.0,118,29.5,0,1,34
2780,13,8593.0,101,25.25,3,3,30
2780,14,8153.5,93,23.25,3,0,37
2780,14,9459.0,64,16.0,2,0,41
2780,18,5490.5,57,14.25,2,0,33
2780,11,9434.0,94,23.5,1,0,41
2780,10,8253.0,90,22.5,0,0,39
2780,12,9383.5,104,26.0,1,2,42
2780,17,8493.0,116,29.0,0,2,40
2780,13,9322.5,95,23.75,0,0,38
2780,15,7828.0,100,25.0,3,1,47
2780,10,9627.5,76,19.0,0,0,42
2780,15,3384.5,63,15.75,2,0,24
2780,14,6084.5,92,23.0,3,0,37
2780,12,8560.0,63,15.75,0,0,32
2780,14,10136.0,45,11.25,0,0,39
2780,22,5611.0,71,17.75,4,0,33
2780,15,7452.5,76,19.0,3,0,42
2780,12,8202.5,92,23.0,0,0,28
2780,12,9733.5,94,23.5,2,0,39
2780,13,5042.5,51,12.75,2,0,29
2780,15,7786.5,82,20.5,2,0,41
2780,14,8781.0,89,22.25,2,0,41
2780,13,9853.0,138,34.5,1,3,47
2780,18,8208.0,146,36.5,1,3,42
2780,13,9705.0,96,24.0,0,0,39
2780,18,7425.5,103,25.75,2,1,37
2780,14,9395.5,96,24.0,0,0,47
2780,10,8301.0,93,23.25,0,0,37
2780,14,8942.5,103,25.75,3,4,38
2780,12,8323.0,105,26.25,3,1,40
2780,12,9909.5,57,14.25,2,0,44
2780,19,5565.0,74,18.5,4,0,30
2780,17,6142.5,65,16.25,2,0,31
2780,17,8625.0,90,22.5,0,0,37
2780,9,9615.5,141,35.25,0,6,38
2780,16,8347.5,97,24.25,2,0,35
2780,17,9470.0,138,34.5,1,4,49
2780,14,8701.5,102,25.5,2,2,43
2780,10,9681.0,68,17.0,0,0,43
2780,13,3505.5,58,14.5,2,0,26
2780,14,9180.5,113,28.25,1,7,42
2780,12,8131.0,107,26.75,3,11,38
2780,14,9604.0,113,28.25,2,2,44
2780,16,7308.0,99,24.75,2,0,38
2780,7,9659.5,91,22.75,1,0,34
2780,10,8262.0,103,25.75,0,1,36
2780,18,8412.5,82,20.5,3,0,43
2780,12,8398.5,129,32.25,0,19,32
2780,11,9277.5,56,14.0,0,0,35
2780,15,5454.0,72,18.0,3,0,33
2780,15,10073.5,84,21.0,1,0,41
2780,19,6480.5,105,26.25,2,1,40
2780,14,3688.5,58,14.5,2,0,25
2780,10,8425.0,69,17.25,0,0,37
2780,21,5046.0,62,15.5,3,0,28
2780,12,8709.5,70,17.5,2,0,37
2780,16,7484.5,119,29.75,5,1,43
2780,12,8663.0,98,24.5,0,0,39
2780,14,8690.5,105,26.25,4,4,50
2780,16,8602.5,108,27.0,1,11,35
2780,14,8760.0,67,16.75,5,0,46
2780,15,7538.0,58,14.5,3,0,42
2780,14,9157.5,89,22.25,4,0,37
2780,17,6759.5,65,16.25,2,0,37
2780,12,9769.0,68,17.0,1,0,43
2780,19,4795.0,57,14.25,1,0,26
2780,19,5167.5,55,13.75,2,0,31
2780,4,2.0,70,17.5,2,0,32
2780,14,8620.5,70,17.5,6,0,51
2780,14,7709.5,63,15.75,5,0,45
2780,13,9630.0,129,32.25,0,34,43
2780,19,7328.0,87,21.75,3,0,38
2780,17,8852.0,65,16.25,4,0,40
2780,17,6287.5,58,14.5,3,0,36
2780,18,7665.0,97,24.25,2,0,44
2780,12,8509.5,82,20.5,1,0,35
2780,15,8759.0,115,28.75,5,1,38
2780,10,8335.0,99,24.75,2,0,44
2780,14,9098.0,114,28.5,3,5,43
2780,10,8527.0,108,27.0,1,2,37
2780,12,9580.0,148,37.0,0,4,44
2780,13,8709.5,143,35.75,2,1,39
2780,18,8853.5,137,34.25,2,2,40
2780,11,8961.0,114,28.5,1,8,33
2780,10,9239.5,140,35.0,0,1,38
2780,10,8224.5,104,26.0,0,1,36
2780,9,9747.0,95,23.75,0,0,43
2780,12,8623.0,109,27.25,0,3,40
2780,11,9558.0,105,26.25,0,4,40
2780,17,7446.5,71,17.75,4,0,37
2780,15,9476.5,81,20.25,1,0,42
2780,17,7484.5,83,20.75,2,0,36
2780,13,9553.5,95,23.75,2,0,35
2780,10,8109.0,66,16.5,0,0,35
2780,19,7143.5,82,20.5,3,0,42
2780,10,8409.5,100,25.0,0,1,31
2780,19,6990.5,106,26.5,3,1,40
2780,10,8514.5,88,22.0,0,0,43
2780,17,9441.5,102,25.5,1,1,47
2780,13,8699.0,110,27.5,2,1,37
2780,16,7843.5,85,21.25,2,0,36
2780,10,8383.5,97,24.25,1,0,38
2780,11,9214.5,147,36.75,0,15,33
2780,16,7499.0,83,20.75,3,0,40
2780,12,9531.5,95,23.75,0,0,46
2780,15,8786.0,139,34.75,0,1,48
2780,15,8657.5,108,27.0,1,2,43
2780,14,8606.0,97,24.25,2,0,41
2780,19,7944.0,56,14.0,2,0,33
2780,17,7508.5,90,22.5,4,0,30
2780,16,9632.0,47,11.75,2,0,39
2780,16,5549.0,77,19.25,3,0,34
2780,15,7472.5,85,21.25,3,0,38
2780,10,8273.5,95,23.75,0,0,31
2780,13,8815.0,102,25.5,0,1,34
2780,12,8260.0,83,20.75,0,0,37
2780,14,9242.5,114,28.5,1,6,38
2780,10,8274.0,107,26.75,1,1,36
2780,16,8183.0,77,19.25,3,0,42
2780,15,8379.0,73,18.25,3,0,41
2780,15,9622.5,70,17.5,0,0,37
2780,15,5191.5,55,13.75,1,0,31
2780,18,4492.5,56,14.0,2,0,27
2780,15,8592.5,68,17.0,1,0,32
2780,17,5813.0,49,12.25,3,0,35
2780,17,8205.0,69,17.25,1,0,38
2780,17,6713.5,79,19.75,3,0,41
2780,11,8553.5,96,24.0,0,0,40
2780,16,9522.0,91,22.75,0,0,39
2780,7,8602.0,114,28.5,1,2,33
2780,13,8848.5,73,18.25,0,0,28
2780,14,5288.5,72,18.0,2,0,34
2780,14,10133.5,64,16.0,1,0,37
2780,20,5462.5,65,16.25,4,0,27
2780,16,9345.0,48,12.0,5,0,42
2780,15,5834.0,81,20.25,5,0,30
2780,13,8334.0,57,14.25,3,0,48
2780,15,8389.5,95,23.75,5,0,38
2780,10,9738.0,156,39.0,1,3,44
2780,11,8851.5,147,36.75,0,8,39
2780,18,5053.0,73,18.25,4,0,33
2780,15,8836.0,63,15.75,1,0,38
2780,13,9627.5,144,36.0,0,13,41
2780,18,7473.0,80,20.0,3,0,40
2780,13,7756.0,102,25.5,3,2,46
2780,14,8696.5,82,20.5,1,0,39
2780,14,9523.5,135,33.75,2,12,45
2780,13,8680.5,133,33.25,0,9,37
2780,14,8433.0,96,24.0,2,0,41
2780,14,8744.5,96,24.0,1,0,35
2780,10,8956.0,110,27.5,0,1,32
2780,17,8451.0,112,28.0,2,2,35
2780,14,9026.5,103,25.75,4,2,42
2780,13,8537.0,114,28.5,2,14,40
2780,13,9749.5,71,17.75,0,0,51
2780,18,6887.5,91,22.75,3,0,33
2780,15,8713.0,98,24.5,2,0,39
2780,15,8196.5,84,21.0,3,0,45
2780,9,9949.5,63,15.75,2,0,43
2780,17,4702.5,81,20.25,5,0,28
2780,18,7718.5,93,23.25,2,0,40
2780,13,8652.5,105,26.25,2,2,39
2780,12,9727.0,81,20.25,2,0,44
2780,10,8328.0,126,31.5,0,3,35
2780,13,8841.5,69,17.25,0,0,31
2780,16,5444.5,85,21.25,2,0,39
2780,14,9950.0,128,32.0,1,28,46
2780,17,7031.5,91,22.75,2,0,38
2780,10,9956.5,148,37.0,0,7,44
2780,12,8479.0,110,27.5,1,4,39
2780,14,8204.5,90,22.5,2,0,40
2780,12,8699.5,108,27.0,1,5,36
2780,14,10016.5,42,10.5,0,0,48
2780,15,5054.0,66,16.5,4,0,33
2780,12,9658.0,120,30.0,0,5,43
2780,11,8841.5,128,32.0,1,3,38
2780,12,9855.5,139,34.75,2,8,41
2780,10,8735.0,118,29.5,1,3,43
2780,16,9244.5,103,25.75,3,3,47
2780,13,8456.0,93,23.25,5,0,36
2780,15,8812.0,104,26.0,2,2,44
2780,14,8828.0,123,30.75,0,6,40
2780,12,9605.5,149,37.25,0,5,41
2780,17,8131.5,81,20.25,1,0,39
2780,9,10201.0,65,16.25,2,0,40
2780,18,4676.0,65,16.25,3,0,29
2780,13,8433.5,88,22.0,0,0,29
2780,12,8462.5,124,31.0,2,1,40
2780,18,9106.5,67,16.75,4,0,38
2780,15,7021.5,71,17.75,2,0,37
2780,14,9363.5,124,31.0,1,1,49
2780,16,8315.0,144,36.0,0,3,35
2780,17,8415.5,118,29.5,3,2,48
2780,15,8784.0,123,30.75,1,9,41
2780,11,9360.5,110,27.5,0,2,31
2780,19,7867.0,116,29.0,2,1,43
2780,16,8425.5,100,25.0,2,1,44
2780,14,8539.5,91,22.75,0,0,39
2780,10,9885.5,118,29.5,1,3,42
2780,10,8808.5,117,29.25,1,5,40
2780,21,5238.0,68,17.0,2,0,33
2780,13,8948.0,51,12.75,0,0,38
2780,13,8438.5,85,21.25,4,0,49
2780,14,7681.5,81,20.25,5,0,46
2780,13,4512.5,71,17.75,2,0,31
2780,10,8234.0,67,16.75,0,0,34
2780,15,8861.5,104,26.0,2,3,41
2780,14,8465.5,92,23.0,0,0,38
2780,16,7664.0,80,20.0,4,0,39
2780,12,8169.0,60,15.0,2,0,45
2780,10,9260.0,94,23.5,0,0,39
2780,10,8277.0,121,30.25,0,3,42
2780,13,9828.0,137,34.25,0,11,44
2780,13,8061.5,117,29.25,4,1,38
2780,19,6722.0,74,18.5,4,0,36
2780,13,8850.0,52,13.0,1,0,43
2780,12,9299.0,86,21.5,1,0,42
2780,9,8455.0,118,29.5,0,4,35
2780,15,5975.0,59,14.75,1,0,36
2780,14,8788.5,91,22.75,0,0,34
2780,12,8927.5,83,20.75,3,0,44
2780,15,8801.5,114,28.5,2,19,41
2780,10,9398.5,129,32.25,0,3,36
2780,18,7603.5,121,30.25,2,2,40
2780,14,8628.0,98,24.5,4,0,33
2780,16,7710.0,89,22.25,2,0,36
2780,10,9682.5,144,36.0,0,7,38
2780,17,7761.5,92,23.0,3,0,39
2780,13,4495.5,68,17.0,4,0,27
2780,10,8381.5,76,19.0,0,0,37
2780,11,7097.0,60,15.0,3,0,45
2780,14,8412.0,68,17.0,3,0,40
2780,12,9151.0,75,18.75,2,0,48
2780,17,7079.5,74,18.5,3,0,32
2780,15,7497.5,55,13.75,3,0,35
2780,18,7795.0,85,21.25,3,0,39
2780,13,9928.0,125,31.25,2,7,45
2780,14,8390.5,113,28.25,3,1,41
2780,17,7074.0,74,18.5,4,0,37
2780,15,8636.0,57,14.25,3,0,34
2780,16,3616.5,56,14.0,2,0,25
2780,11,8380.0,48,12.0,0,0,37
2780,15,8865.5,123,30.75,2,1,29
2780,12,8105.0,147,36.75,2,2,42
2780,13,8988.0,129,32.25,0,40,28
2780,14,7261.0,108,27.0,3,1,46
2780,12,9673.0,110,27.5,0,2,43
2780,9,8725.0,97,24.25,0,0,38
2780,19,7737.5,58,14.5,3,0,32
2780,18,8109.0,52,13.0,7,0,31
2780,16,6754.0,76,19.0,1,0,40
2780,14,8663.0,92,23.0,0,0,38
2780,15,5402.5,53,13.25,3,0,29
2780,15,8800.5,67,16.75,1,0,38
2780,14,8545.5,64,16.0,2,0,50
2780,14,7749.5,60,15.0,4,0,44
2780,14,8276.5,89,22.25,4,0,42
2780,12,8683.0,89,22.25,1,0,39
2780,17,6434.5,73,18.25,3,0,34
2780,12,8971.0,51,12.75,1,0,40
2780,17,8935.0,133,33.25,1,2,41
2780,11,8496.5,118,29.5,0,6,40
2780,14,8586.0,89,22.25,5,0,50
2780,14,7623.0,93,23.25,2,0,48
2780,18,9328.5,104,26.0,1,2,44
2780,18,8483.5,107,26.75,1,2,38
2780,14,9609.5,73,18.25,1,0,43
2780,14,6247.5,60,15.0,3,0,32
2780,16,6428.5,91,22.75,4,0,39
2780,15,8767.5,62,15.5,0,0,41
2780,16,7646.0,84,21.0,3,0,39
2780,12,8630.0,96,24.0,0,0,38
2780,11,9379.0,53,13.25,3,0,35
2780,20,6006.5,83,20.75,4,0,33
2780,19,7222.5,95,23.75,3,0,40
2780,10,8550.5,100,25.0,0,1,40
2780,13,9771.0,99,24.75,0,0,36
2780,13,3603.5,66,16.5,4,0,25
2780,15,9210.0,86,21.5,6,0,39
2780,13,7555.0,86,21.5,2,0,33
2780,20,9173.0,74,18.5,1,0,33
2780,16,4988.0,51,12.75,1,0,29
2780,15,9195.0,97,24.25,4,0,48
2780,12,8403.0,103,25.75,3,3,43
2780,18,7529.5,55,13.75,5,0,38
2780,16,8109.0,57,14.25,3,0,36
2780,14,8134.5,68,17.0,3,0,40
2780,10,8344.0,112,28.0,0,7,42
2780,15,9593.0,79,19.75,1,0,42
2780,18,6916.0,70,17.5,2,0,40
2780,16,9153.5,138,34.5,1,1,42
2780,11,8365.5,143,35.75,0,5,33
2780,14,8924.0,115,28.75,1,3,44
2780,16,8593.0,129,32.25,1,8,33
2780,10,9230.5,109,27.25,1,2,34
2780,10,8334.0,145,36.25,0,1,38
2780,16,9130.5,55,13.75,4,0,40
2780,17,7137.5,83,20.75,4,0,34
2780,14,9416.5,84,21.0,3,0,42
2780,15,8274.0,87,21.75,3,0,40
2780,10,9565.5,75,18.75,0,0,41
2780,15,4831.0,75,18.75,3,0,30
2780,17,8253.0,90,22.5,1,0,37
2780,16,8701.0,90,22.5,1,0,41
2780,17,8770.0,98,24.5,3,0,43
2780,12,8486.0,127,31.75,0,9,42
2780,18,6360.5,75,18.75,2,0,37
2780,11,8185.0,83,20.75,0,0,27
2780,17,7936.0,65,16.25,6,0,33
2780,17,8298.0,71,17.75,3,0,38
2780,14,8949.5,110,27.5,3,1,48
2780,14,8447.0,121,30.25,1,2,41
2780,18,8614.0,90,22.5,3,0,43
2780,10,8401.5,137,34.25,0,5,33
2780,13,8570.5,98,24.5,2,0,52
2780,14,8375.5,110,27.5,2,3,39
2780,10,9370.5,68,17.0,0,0,35
2780,13,4970.0,77,19.25,2,0,27
2780,17,6268.0,73,18.25,2,0,37
2780,14,8658.0,70,17.5,0,0,35
2780,10,9329.0,130,32.5,1,2,39
2780,7,8550.5,83,20.75,0,0,40
2780,20,5191.0,71,17.75,1,0,32
2780,11,8677.5,59,14.75,1,0,40
2780,16,7468.0,81,20.25,2,0,42
2780,11,8244.5,108,27.0,0,4,29
2780,10,9867.5,155,38.75,0,3,39
2780,10,8889.0,108,27.0,0,1,42
2780,14,5106.0,58,14.5,3,0,32
2780,12,8641.0,81,20.25,1,0,33
2780,15,9941.0,93,23.25,0,0,39
2780,12,6872.5,78,19.5,2,0,36
2780,15,8639.5,71,17.75,7,0,43
2780,13,8264.0,75,18.75,3,0,38
2780,17,4477.5,59,14.75,2,0,27
2780,12,8491.5,58,14.5,0,0,34
2780,15,9895.5,107,26.75,2,1,38
2780,16,7357.0,102,25.5,2,2,41
2780,17,9395.5,115,28.75,0,3,29
2780,17,7503.0,106,26.5,4,1,36
2780,18,9312.5,145,36.25,3,3,51
2780,14,8853.0,120,30.0,1,1,41
2780,17,8562.5,79,19.75,4,0,42
2780,13,7419.5,78,19.5,5,0,39
2780,13,5233.5,68,17.0,2,0,29
2780,13,8118.5,66,16.5,1,0,31
2780,17,8109.0,104,26.0,1,2,45
2780,17,8574.0,116,29.0,2,11,40
2780,14,9443.0,114,28.5,1,17,39
2780,14,8028.5,104,26.0,1,3,41
2780,12,9687.0,126,31.5,3,4,41
2780,11,8498.5,108,27.0,1,2,39
2780,16,7020.0,68,17.0,2,0,33
2780,13,8661.0,71,17.75,0,0,35
2780,13,9729.0,135,33.75,0,24,41
2780,16,7701.0,99,24.75,2,0,36
2780,14,9691.5,95,23.75,1,0,39
2780,15,6240.5,69,17.25,2,0,35
2780,15,8907.5,89,22.25,3,0,48
2780,14,7927.0,81,20.25,2,0,39
2780,11,9342.5,171,42.75,0,2,37
2780,14,8746.5,107,26.75,1,1,41
2780,14,8140.0,62,15.5,2,0,42
2780,18,7906.0,55,13.75,3,0,36
2780,14,9791.5,145,36.25,0,11,40
2780,16,7960.5,115,28.75,1,2,36
2780,14,8962.5,110,27.5,1,4,38
2780,13,7436.5,93,23.25,3,0,43
2780,10,9520.5,68,17.0,0,0,38
2780,15,5334.0,83,20.75,4,0,30
2780,12,9475.5,152,38.0,0,11,43
2780,12,8483.5,142,35.5,0,8,40
2780,18,6499.0,71,17.75,4,0,35
2780,13,8528.5,86,21.5,2,0,40
2780,17,7115.0,106,26.5,4,1,40
2780,12,8507.0,98,24.5,1,0,35
2780,14,9881.5,97,24.25,1,0,45
2780,15,8357.5,98,24.5,1,0,42
2780,11,8315.0,102,25.5,4,1,34
2780,15,7587.5,98,24.5,1,0,37
2780,10,9508.0,69,17.25,0,0,35
2780,15,4950.5,69,17.25,3,0,28
2780,10,9352.0,139,34.75,2,3,40
2780,11,8411.0,144,36.0,0,4,37
2780,18,8256.0,109,27.25,2,1,36
2780,14,8807.0,116,29.0,0,7,44
2780,14,9356.5,73,18.25,2,0,49
2780,11,8425.0,144,36.0,0,8,37
2780,9,9847.0,161,40.25,0,3,44
2780,10,8809.5,152,38.0,0,6,39
2780,14,8677.0,69,17.25,2,0,40
2780,14,8178.0,59,14.75,4,0,38
2780,14,8401.5,62,15.5,4,0,52
2780,15,7934.0,94,23.5,4,0,47
2780,10,9225.0,100,25.0,0,2,42
2780,10,8304.0,116,29.0,1,2,43
2780,10,9293.0,80,20.0,0,0,40
2780,10,8303.0,78,19.5,0,0,36
2780,11,9263.5,124,31.0,0,3,41
2780,7,8554.0,104,26.0,0,1,31
2780,16,8770.5,65,16.25,2,0,39
2780,14,7458.0,77,19.25,3,0,35
2780,13,9092.0,107,26.75,0,1,34
2780,10,8041.0,150,37.5,0,2,29
2780,13,8336.0,121,30.25,0,2,32
2780,14,8596.5,102,25.5,0,1,37
2780,17,6714.5,67,16.75,4,0,37
2780,13,8769.0,51,12.75,1,0,41
2780,12,9262.5,111,27.75,2,3,46
2780,12,6522.0,101,25.25,3,2,43
2780,11,9321.0,149,37.25,0,2,40
2780,12,8577.5,87,21.75,0,0,43
2780,19,7066.0,92,23.0,3,0,40
2780,10,8438.0,82,20.5,0,0,31
2780,14,9401.0,108,27.0,1,2,43
2780,13,7223.5,108,27.0,2,1,45
2780,19,6506.5,83,20.75,3,0,38
2780,12,8579.5,96,24.0,0,0,36
2780,17,7189.5,62,15.5,5,0,36
2780,13,8604.0,75,18.75,1,0,40
2780,11,9286.0,86,21.5,0,0,35
2780,17,6551.0,82,20.5,3,0,36
2780,12,9557.0,136,34.0,0,3,41
2780,14,8704.5,150,37.5,0,9,39
2780,10,9386.5,113,28.25,0,6,36
2780,16,7640.0,85,21.25,3,0,42
2780,11,9742.0,123,30.75,0,11,42
2780,18,7097.5,96,24.0,2,0,41
2780,11,9655.5,91,22.75,1,0,42
2780,20,6212.0,80,20.0,3,0,36
2780,13,9809.5,117,29.25,0,1,43
2780,17,8436.0,133,33.25,1,2,43
2780,13,8978.5,95,23.75,2,0,31
2780,15,6590.0,85,21.25,3,0,39
2780,20,6184.5,85,21.25,2,0,36
2780,11,8349.5,72,18.0,0,0,34
2780,11,9248.5,102,25.5,0,1,39
2780,7,8553.0,90,22.5,1,0,35
2780,15,8453.0,62,15.5,1,0,40
2780,18,7388.5,66,16.5,4,0,44
2780,16,6136.5,52,13.0,1,0,34
2780,14,8148.0,64,16.0,4,0,35
2780,18,9640.0,129,32.25,3,3,40
2780,16,8702.0,119,29.75,2,7,38
2780,17,8140.0,76,19.0,2,0,36
2780,12,7974.5,81,20.25,4,0,41
2780,17,7860.0,90,22.5,2,0,45
2780,12,8539.5,96,24.0,0,0,34
2780,13,10166.0,57,14.25,3,0,47
2780,16,5361.0,63,15.75,3,0,33
2780,15,9419.5,82,20.5,0,0,40
2780,13,4962.5,74,18.5,3,0,31
2780,12,9627.0,108,27.0,1,2,48
2780,10,8721.5,123,30.75,1,5,38
2780,16,8321.5,96,24.0,2,0,44
2780,13,8525.5,86,21.5,0,0,38
2780,11,9512.0,102,25.5,0,3,40
2780,17,7010.0,77,19.25,3,0,37
2780,17,8605.0,110,27.5,3,3,40
2780,13,8481.5,108,27.0,1,3,38
2780,11,9456.0,63,15.75,3,0,36
2780,14,5790.0,60,15.0,3,0,33
2780,13,9759.0,155,38.75,1,9,42
2780,12,8220.5,143,35.75,2,3,39
2780,12,9474.5,85,21.25,1,0,42
2780,17,7314.0,88,22.0,2,0,41
2780,16,9184.0,87,21.75,4,0,47
2780,15,8022.5,81,20.25,1,0,42
